dataset_id,species_id,protocol_id,start_date,end_date
,1,36,1970-01-01,2011-03-20
,1,210,2011-03-21,2012-02-27
,1,234,2012-02-28,
,2,36,1970-01-01,2011-03-20
,2,210,2011-03-21,2012-02-27
,2,234,2012-02-28,
,3,36,1970-01-01,2011-03-20
,3,210,2011-03-21,2012-02-27
,3,234,2012-02-28,
9,3,276,1970-01-01,2011-03-20
9,3,279,2011-03-21,2012-02-27
9,3,281,2012-02-28,
11,3,309,2010-01-01,
13,3,310,2009-01-01,
15,3,323,2010-01-01,2011-03-20
15,3,324,2011-03-21,
,4,36,1970-01-01,2011-03-20
,4,209,2011-03-21,2012-02-27
,4,233,2012-02-28,
,6,38,1970-01-01,2011-03-20
,6,200,2011-03-21,2012-02-27
,6,223,2012-02-28,
,7,36,1970-01-01,2011-03-20
,7,209,2011-03-21,2012-02-27
,7,233,2012-02-28,
11,7,307,2010-01-01,
15,7,323,2010-01-01,2011-03-20
15,7,324,2011-03-21,
,8,38,1970-01-01,2011-03-20
,8,200,2011-03-21,2012-02-27
,8,223,2012-02-28,
9,8,288,2011-03-21,2012-02-27
9,8,289,2012-02-28,
9,8,296,1970-01-01,2011-03-20
,9,38,1970-01-01,2011-03-20
,9,200,2011-03-21,2012-02-27
,9,223,2012-02-28,
,11,45,1970-01-01,2011-03-20
,11,200,2011-03-21,2012-02-27
,11,223,2012-02-28,2023-01-26
,11,364,2023-01-27,
,12,36,1970-01-01,2011-03-20
,12,209,2011-03-21,2012-02-27
,12,233,2012-02-28,
9,12,276,1970-01-01,2011-03-20
9,12,283,2011-03-21,2012-02-27
9,12,286,2012-02-28,
11,12,307,2010-01-01,
13,12,310,2009-01-01,
15,12,323,2010-01-01,2011-03-20
15,12,324,2011-03-21,
,16,52,1970-01-01,2011-03-20
,16,212,2011-03-21,2012-02-27
,16,236,2012-02-28,2016-02-10
,16,321,2016-02-11,
,17,38,1970-01-01,2011-03-20
,17,200,2011-03-21,2012-02-27
,17,223,2012-02-28,2023-01-26
,17,364,2023-01-27,
,19,45,1970-01-01,2011-03-20
,19,214,2011-03-21,2012-02-27
,19,226,2017-02-06,
,19,238,2012-02-28,2017-02-05
,20,40,1970-01-01,2011-03-20
8,20,120,1968-01-01,
7,20,122,1971-01-01,2004-12-31
7,20,123,2005-01-01,
,20,222,2011-03-21,
,22,41,1970-01-01,2011-03-20
,22,211,2011-03-21,2012-02-27
,22,235,2012-02-28,2016-02-10
,22,321,2016-02-11,
,25,48,1970-01-01,2011-03-20
,25,206,2011-03-21,2012-02-27
,25,230,2012-02-28,
,26,38,1970-01-01,2011-03-20
,26,219,2011-03-21,2012-02-27
,26,223,2012-02-28,
,27,36,1970-01-01,2011-03-20
,27,210,2011-03-21,2012-02-27
,27,234,2012-02-28,
,28,36,1970-01-01,2011-03-20
,28,209,2011-03-21,2012-02-27
,28,233,2012-02-28,
13,28,310,2009-01-01,
,29,36,1970-01-01,2011-03-20
,29,209,2011-03-21,2012-02-27
,29,233,2012-02-28,
,33,36,1970-01-01,2011-03-20
,33,209,2011-03-21,2012-02-27
,33,233,2012-02-28,
7,35,28,2005-01-01,
,35,39,1970-01-01,2011-03-20
8,35,119,1956-01-01,
7,35,121,1961-01-01,2004-12-31
,35,221,2011-03-21,
7,36,28,2005-01-01,
,36,39,1970-01-01,2011-03-20
8,36,119,1956-01-01,
7,36,121,1961-01-01,2004-12-31
,36,221,2011-03-21,
11,36,307,2010-01-01,
,38,38,1970-01-01,2011-03-20
,38,219,2011-03-21,2012-02-27
,38,223,2012-02-28,
,39,42,1970-01-01,2011-03-20
,39,205,2011-03-21,2012-02-27
,39,229,2012-02-28,
,40,42,1970-01-01,2011-03-20
,40,205,2011-03-21,2012-02-27
,40,229,2012-02-28,
,41,42,1970-01-01,2011-03-20
,41,205,2011-03-21,2012-02-27
,41,229,2012-02-28,
,42,42,1970-01-01,2011-03-20
,42,205,2011-03-21,2012-02-27
,42,229,2012-02-28,
,43,49,1970-01-01,2011-03-20
,43,208,2011-03-21,2012-02-27
,43,232,2012-02-28,
,44,49,1970-01-01,2011-03-20
,44,208,2011-03-21,2012-02-27
,44,232,2012-02-28,
,45,51,1970-01-01,2011-03-20
,45,207,2011-03-21,2012-02-27
,45,231,2012-02-28,
,46,42,1970-01-01,2011-03-20
,46,205,2011-03-21,2012-02-27
,46,229,2012-02-28,
,47,42,1970-01-01,2011-03-20
,47,205,2011-03-21,2012-02-27
,47,229,2012-02-28,
,48,42,1970-01-01,2011-03-20
,48,205,2011-03-21,2012-02-27
,48,229,2012-02-28,
,49,42,1970-01-01,2011-03-20
,49,205,2011-03-21,2012-02-27
,49,229,2012-02-28,
,50,48,1970-01-01,2011-03-20
,50,206,2011-03-21,2012-02-27
,50,230,2012-02-28,
,51,42,1970-01-01,2011-03-20
,51,206,2011-03-21,2012-02-27
,51,230,2012-02-28,
,52,48,1970-01-01,2011-03-20
,52,206,2011-03-21,2012-02-27
,52,230,2012-02-28,
,53,48,1970-01-01,2011-03-20
,53,206,2011-03-21,2012-02-27
,53,230,2012-02-28,
,54,48,1970-01-01,2011-03-20
,54,206,2011-03-21,2012-02-27
,54,230,2012-02-28,
,55,42,1970-01-01,2011-03-20
,55,205,2011-03-21,2012-02-27
,55,229,2012-02-28,
,56,42,1970-01-01,2011-03-20
,56,205,2011-03-21,2012-02-27
,56,229,2012-02-28,
13,56,310,2009-01-01,
,57,42,1970-01-01,2011-03-20
,57,205,2011-03-21,2012-02-27
,57,229,2012-02-28,
,58,42,1970-01-01,2011-03-20
,58,205,2011-03-21,2012-02-27
,58,229,2012-02-28,
,59,36,1970-01-01,2011-03-20
,59,210,2011-03-21,2012-02-27
,59,234,2012-02-28,
,60,36,1970-01-01,2011-03-20
,60,210,2011-03-21,2012-02-27
,60,234,2012-02-28,
15,60,323,2010-01-01,2011-03-20
15,60,324,2011-03-21,
,61,36,1970-01-01,2011-03-20
,61,210,2011-03-21,2012-02-27
,61,234,2012-02-28,
13,61,310,2009-01-01,
15,61,323,2010-01-01,2011-03-20
15,61,324,2011-03-21,
,62,37,1970-01-01,2011-03-20
,62,210,2011-03-21,2012-02-27
,62,234,2012-02-28,
,63,37,1970-01-01,2011-03-20
,63,210,2011-03-21,2012-02-27
,63,234,2012-02-28,
,64,36,1970-01-01,2011-03-20
,64,209,2011-03-21,2012-02-27
,64,233,2012-02-28,
,65,36,1970-01-01,2011-03-20
,65,209,2011-03-21,2012-02-27
,65,233,2012-02-28,
,66,41,1970-01-01,2011-03-20
,66,212,2011-03-21,2012-02-27
,66,236,2012-02-28,2016-02-10
,66,321,2016-02-11,
,67,37,1970-01-01,2011-03-20
,67,210,2011-03-21,2012-02-27
,67,234,2012-02-28,
13,67,310,2009-01-01,
15,67,323,2010-01-01,2011-03-20
15,67,324,2011-03-21,
,68,37,1970-01-01,2011-03-20
,68,210,2011-03-21,2012-02-27
,68,234,2012-02-28,
,69,36,1970-01-01,2011-03-20
,69,209,2011-03-21,2012-02-27
,69,233,2012-02-28,
,70,36,1970-01-01,2011-03-20
,70,209,2011-03-21,2012-02-27
,70,234,2012-02-28,
,71,37,1970-01-01,2011-03-20
,71,210,2011-03-21,2012-02-27
,71,234,2012-02-28,
,72,37,1970-01-01,2011-03-20
,72,210,2011-03-21,2012-02-27
,72,234,2012-02-28,
,73,47,1970-01-01,2011-03-20
,73,209,2011-03-21,2012-02-27
,73,233,2012-02-28,
,74,36,1970-01-01,2011-03-20
,74,210,2011-03-21,2012-02-27
,74,234,2012-02-28,
13,74,310,2009-01-01,
15,74,323,2010-01-01,2011-03-20
15,74,324,2011-03-21,
,75,36,1970-01-01,2011-03-20
,75,210,2011-03-21,2012-02-27
,75,234,2012-02-28,
,76,36,1970-01-01,2011-03-20
,76,209,2011-03-21,2012-02-27
,76,233,2012-02-28,
13,76,310,2009-01-01,
15,76,323,2010-01-01,2011-03-20
15,76,324,2011-03-21,
,77,36,1970-01-01,2011-03-20
,77,210,2011-03-21,2012-02-27
,77,234,2012-02-28,
,78,41,1970-01-01,2011-03-20
,78,212,2011-03-21,2012-02-27
,78,236,2012-02-28,2016-02-10
,78,321,2016-02-11,
,79,36,1970-01-01,2011-03-20
,79,209,2011-03-21,2012-02-27
,79,233,2012-02-28,
13,79,310,2009-01-01,
15,79,323,2010-01-01,2011-03-20
15,79,324,2011-03-21,
,80,36,1970-01-01,2011-03-20
,80,210,2011-03-21,2012-02-27
,80,234,2012-02-28,
,81,36,1970-01-01,2011-03-20
,81,209,2011-03-21,2012-02-27
,81,233,2012-02-28,
13,81,310,2009-01-01,
15,81,323,2010-01-01,2011-03-20
15,81,324,2011-03-21,
,82,36,1970-01-01,2011-03-20
,82,209,2011-03-21,2012-02-27
,82,233,2012-02-28,
13,82,310,2009-01-01,
15,82,323,2010-01-01,2011-03-20
15,82,324,2011-03-21,
,83,36,1970-01-01,2011-03-20
,83,209,2011-03-21,2012-02-27
,83,233,2012-02-28,
,84,41,1970-01-01,2011-03-20
,84,213,2011-03-21,2012-02-27
,84,237,2012-02-28,2016-02-10
,84,322,2016-02-11,
,85,41,1970-01-01,2011-03-20
,85,213,2011-03-21,2012-02-27
,85,237,2012-02-28,2016-02-10
,85,322,2016-02-11,
,86,36,1970-01-01,2011-03-20
,86,209,2011-03-21,2012-02-27
,86,233,2012-02-28,
,87,36,1970-01-01,2011-03-20
,87,209,2011-03-21,2012-02-27
,87,233,2012-02-28,
,88,36,1970-01-01,2011-03-20
,88,209,2011-03-21,2012-02-27
,88,233,2012-02-28,
,89,36,1970-01-01,2011-03-20
,89,209,2011-03-21,2012-02-27
,89,233,2012-02-28,
,90,36,1970-01-01,2011-03-20
,90,209,2011-03-21,2012-02-27
,90,233,2012-02-28,
,91,36,1970-01-01,2011-03-20
,91,209,2011-03-21,2012-02-27
,91,233,2012-02-28,
,92,36,1970-01-01,2011-03-20
,92,209,2011-03-21,2012-02-27
,92,233,2012-02-28,
,93,36,1970-01-01,2011-03-20
,93,210,2011-03-21,2012-02-27
,93,234,2012-02-28,
15,93,323,2010-01-01,2011-03-20
15,93,324,2011-03-21,
,94,36,1970-01-01,2011-03-20
,94,209,2011-03-21,2012-02-27
,94,233,2012-02-28,
,95,36,1970-01-01,2011-03-20
,95,209,2011-03-21,2012-02-27
,95,233,2012-02-28,
9,95,277,1970-01-01,2011-03-20
9,95,284,2011-03-21,2012-02-27
9,95,286,2012-02-28,
,96,36,1970-01-01,2011-03-20
,96,209,2011-03-21,2012-02-27
,96,233,2012-02-28,
,97,37,1970-01-01,2011-03-20
,97,210,2011-03-21,2012-02-27
,97,234,2012-02-28,
,98,37,1970-01-01,2011-03-20
,98,210,2011-03-21,2012-02-27
,98,234,2012-02-28,
13,98,310,2009-01-01,
15,98,323,2010-01-01,2011-03-20
15,98,324,2011-03-21,
,99,37,1970-01-01,2011-03-20
,99,210,2011-03-21,2012-02-27
,99,234,2012-02-28,
,100,37,1970-01-01,2011-03-20
,100,210,2011-03-21,2012-02-27
,100,234,2012-02-28,
9,100,278,1970-01-01,2011-03-20
9,100,280,2011-03-21,2012-02-27
9,100,282,2012-02-28,
13,100,310,2009-01-01,
15,100,323,2010-01-01,2011-03-20
15,100,324,2011-03-21,
,101,37,1970-01-01,2011-03-20
,101,210,2011-03-21,2012-02-27
,101,234,2012-02-28,
,102,37,1970-01-01,2011-03-20
,102,210,2011-03-21,2012-02-27
,102,234,2012-02-28,
11,102,308,2010-01-01,
13,102,310,2009-01-01,
15,102,323,2010-01-01,2011-03-20
15,102,324,2011-03-21,
,103,41,1970-01-01,2011-03-20
,103,214,2011-03-21,2012-02-27
,103,238,2012-02-28,2021-01-31
,103,242,2021-02-01,
,104,45,1970-01-01,2011-03-20
,104,214,2011-03-21,2012-02-27
,104,238,2012-02-28,
,105,41,1970-01-01,2011-03-20
,105,215,2011-03-21,2012-02-27
,105,237,2015-03-10,2016-02-10
,105,239,2012-02-28,2015-03-09
,105,322,2016-02-11,
,106,41,1970-01-01,2011-03-20
,106,214,2011-03-21,2012-02-27
,106,238,2012-02-28,
,107,41,1970-01-01,2011-03-20
,107,214,2011-03-21,2012-02-27
,107,238,2012-02-28,2013-01-29
,107,242,2013-01-30,
,108,41,1970-01-01,2011-03-20
,108,212,2011-03-21,2012-02-27
,108,236,2012-02-28,2016-02-10
,108,321,2016-02-11,
,109,41,1970-01-01,2011-03-20
,109,214,2011-03-21,2012-02-27
,109,238,2012-02-28,2021-01-31
,109,242,2021-02-01,
,110,41,1970-01-01,2011-03-20
,110,214,2011-03-21,2012-02-27
,110,238,2012-02-28,
,111,41,1970-01-01,2011-03-20
,111,214,2011-03-21,2012-02-27
,111,238,2012-02-28,
,112,45,1970-01-01,2011-03-20
,112,214,2011-03-21,2012-02-27
,112,238,2012-02-28,
,113,41,1970-01-01,2011-03-20
,113,214,2011-03-21,2012-02-27
,113,238,2012-02-28,
,114,41,1970-01-01,2011-03-20
,114,214,2011-03-21,2012-02-27
,114,238,2012-02-28,
,115,41,1970-01-01,2011-03-20
,115,214,2011-03-21,2012-02-27
,115,238,2012-02-28,
,116,41,1970-01-01,2011-03-20
,116,214,2011-03-21,2012-02-27
,116,238,2012-02-28,
,117,46,1970-01-01,2011-03-20
,117,214,2011-03-21,2012-02-27
,117,242,2012-02-28,
,118,41,1970-01-01,2011-03-20
,118,214,2011-03-21,2012-02-27
,118,238,2012-02-28,2022-03-09
,118,321,2022-03-08,
,119,41,1970-01-01,2011-03-20
,119,214,2011-03-21,2012-02-27
,119,238,2012-02-28,
,120,41,1970-01-01,2011-03-20
,120,214,2011-03-21,2012-02-27
,120,238,2012-02-28,
,121,41,1970-01-01,2011-03-20
,121,214,2011-03-21,2012-02-27
,121,238,2012-02-28,
,122,41,1970-01-01,2011-03-20
,122,212,2011-03-21,2012-02-27
,122,236,2012-02-28,2016-02-10
,122,321,2016-02-11,
,123,41,1970-01-01,2011-03-20
,123,212,2011-03-21,2012-02-27
,123,236,2012-02-28,2016-02-10
,123,321,2016-02-11,
,124,41,1970-01-01,2011-03-20
,124,212,2011-03-21,2012-02-27
,124,236,2012-02-28,2016-02-10
,124,321,2016-02-11,
,125,36,1970-01-01,2011-03-20
,125,212,2011-03-21,2012-02-27
,125,236,2012-02-28,2016-02-10
,125,321,2016-02-11,
,126,41,1970-01-01,2011-03-20
,126,212,2011-03-21,2012-02-27
,126,236,2012-02-28,2016-02-10
,126,321,2016-02-11,
,127,41,1970-01-01,2011-03-20
,127,214,2011-03-21,2012-02-27
,127,238,2012-02-28,
,128,41,1970-01-01,2011-03-20
,128,212,2011-03-21,2012-02-27
,128,236,2012-02-28,2016-02-10
,128,321,2016-02-11,
,129,43,1970-01-01,2011-03-20
,129,203,2011-03-21,2012-02-27
,129,227,2012-02-28,
,130,43,1970-01-01,2011-03-20
,130,203,2011-03-21,2012-02-27
,130,227,2012-02-28,
,131,43,1970-01-01,2011-03-20
,131,203,2011-03-21,2012-02-27
